signal,group
-38,0
-37,0
-43,0
-36,0
-36,0
-37,0
-37,0
-36,0
-35,0
-36,0
-36,0
-37,0
-37,0
-36,0
-36,0
-37,0
-36,0
-36,0
-36,0
-36,0
-35,0
-35,0
-36,0
-35,0
-36,0
-39,0
-39,0
-38,0
-38,0
-37,0
-38,0
-39,0
-40,0
-74,2
-73,2
-75,2
-75,2
-76,2
-75,2
-75,2
-76,2
-84,2
-84,2
-81,2
-77,2
-80,2
-81,2
-74,2
-77,2
-77,2
-76,2
-75,2
-77,2
-75,2
-85,2
-84,2
-84,2
-78,2
-83,2
-83,2
-72,2
-72,2
-72,2
-72,2
-72,2
-71,2
-75,2
-76,2
-77,2
-75,2
-79,2
-78,2
-78,2
-77,2
-76,2
-77,2
-77,2
-84,2
-85,2
-84,2
-84,2
-86,2
-84,2
-84,2
-72,2
-73,2
-72,2
-72,2
-71,2
-72,2
-71,2
-71,2
-70,2
-72,2
-72,2
-72,2
-78,2
-79,2
-76,2
-76,2
-75,2
-79,2
-75,2
-75,2
-78,2
-79,2
-79,2
-76,2
-77,2
-76,2
-81,2
-80,2
-66,1
-66,1
-66,1
-67,1
-66,1
-66,1
-65,1
-64,1
-64,1
-64,1
-56,1
-56,1
-56,1
-57,1
-57,1
-59,1
-59,1
-59,1
-56,1
-61,1
-61,1
-60,1
-61,1
-60,1
-60,1
-60,1
-69,2
-77,2
-76,2
-77,2
-76,2
-76,2
-76,2
-74,2
-74,2
-74,2
-73,2
-74,2
-73,2
-74,2
-70,2
-70,2
-69,2
-69,2
-68,2
-68,2
-68,2
-67,2
-68,2
-68,2
-67,2
-68,2
-68,2
-68,2
-76,2
-77,2
-81,2
-81,2
-81,2
-80,2
-80,2
-80,2
-79,2
-79,2
-77,2
-76,2
-78,2
-78,2
-79,2
-77,2
-75,2
-71,2
-74,2
-74,2
-74,2
-74,2
-75,2
-76,2
-68,1
-68,1
-67,1
-67,1
-67,1
-66,1
-67,1
-67,1
-69,1
-67,1
-68,1
-68,1
-68,1
-68,1
-64,1
-63,1
-65,1
-64,1
-65,1
-65,1
-65,1
-67,1
-67,1
-62,1
-62,1
-62,1
-62,1
-61,1
-61,1
-62,1
-61,1
-61,1
-62,1
-63,1
-62,1
-62,1
